timestamp,container,name,cpu_percent,memory_usage,memory_percent,threads,pids
2026-09-17T03:07:42.4781207Z,a42d74844cf7,book-reviews-a4-web-1,1.09,124.9MiB / 15.17GiB,0.80,11,11
2026-09-17T03:07:42.4781207Z,69b93e454d61,book-reviews-a4-static-1,5.02,29.02MiB / 15.17GiB,0.19,9,9
2026-09-17T03:07:42.4781207Z,ca43277e8356,book-reviews-a4-db-1,3.66,49.62MiB / 15.17GiB,0.32,7,7
2026-09-17T03:07:42.4781207Z,87235cf2e925,book-reviews-a4-redis-1,0.70,9.309MiB / 192MiB,4.85,6,6
2026-09-17T03:07:42.4781207Z,9848c97527b3,book-reviews-a4-traefik-1,0.06,118.5MiB / 15.17GiB,0.76,17,17
2026-09-17T03:07:42.4781207Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.86,1.438GiB / 1.5GiB,95.86,129,129
2026-09-17T03:07:52.3340316Z,a42d74844cf7,book-reviews-a4-web-1,0.49,125.2MiB / 15.17GiB,0.81,11,11
2026-09-17T03:07:52.3340316Z,69b93e454d61,book-reviews-a4-static-1,0.40,28.6MiB / 15.17GiB,0.18,9,9
2026-09-17T03:07:52.3340316Z,ca43277e8356,book-reviews-a4-db-1,3.40,49.14MiB / 15.17GiB,0.32,7,7
2026-09-17T03:07:52.3340316Z,87235cf2e925,book-reviews-a4-redis-1,0.35,9.43MiB / 192MiB,4.91,6,6
2026-09-17T03:07:52.3340316Z,9848c97527b3,book-reviews-a4-traefik-1,2.27,118.4MiB / 15.17GiB,0.76,17,17
2026-09-17T03:07:52.3340316Z,48f7e9560c08,book-reviews-a4-opensearch-1,1.11,1.438GiB / 1.5GiB,95.83,129,129
2026-09-17T03:08:00.4383761Z,a42d74844cf7,book-reviews-a4-web-1,4.24,124MiB / 15.17GiB,0.80,11,11
2026-09-17T03:08:00.4383761Z,69b93e454d61,book-reviews-a4-static-1,0.26,29.86MiB / 15.17GiB,0.19,9,9
2026-09-17T03:08:00.4383761Z,ca43277e8356,book-reviews-a4-db-1,0.03,48.84MiB / 15.17GiB,0.31,7,7
2026-09-17T03:08:00.4383761Z,87235cf2e925,book-reviews-a4-redis-1,3.01,10.12MiB / 192MiB,5.27,6,6
2026-09-17T03:08:00.4383761Z,9848c97527b3,book-reviews-a4-traefik-1,8.46,118.9MiB / 15.17GiB,0.76,17,17
2026-09-17T03:08:00.4383761Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.84,1.438GiB / 1.5GiB,95.84,129,129
2026-09-17T03:08:08.4092214Z,a42d74844cf7,book-reviews-a4-web-1,0.02,124.8MiB / 15.17GiB,0.80,11,11
2026-09-17T03:08:08.4092214Z,69b93e454d61,book-reviews-a4-static-1,0.27,29.38MiB / 15.17GiB,0.19,9,9
2026-09-17T03:08:08.4092214Z,ca43277e8356,book-reviews-a4-db-1,0.00,49.63MiB / 15.17GiB,0.32,7,7
2026-09-17T03:08:08.4092214Z,87235cf2e925,book-reviews-a4-redis-1,0.29,9.891MiB / 192MiB,5.15,6,6
2026-09-17T03:08:08.4092214Z,9848c97527b3,book-reviews-a4-traefik-1,0.48,118MiB / 15.17GiB,0.76,17,17
2026-09-17T03:08:08.4092214Z,48f7e9560c08,book-reviews-a4-opensearch-1,1.91,1.437GiB / 1.5GiB,95.83,129,129
2026-09-17T03:08:15.7886993Z,a42d74844cf7,book-reviews-a4-web-1,3.99,124.5MiB / 15.17GiB,0.80,11,11
2026-09-17T03:08:15.7886993Z,69b93e454d61,book-reviews-a4-static-1,0.31,29.54MiB / 15.17GiB,0.19,9,9
