"deployment","endpoint","requested","duration_seconds","observed","failed_rate","avg_ms","median_ms","p95_ms","min_ms","max_ms","directory"
"full","aggregation","1","300","1","0","156.569006","156.569006","156.569006","156.569006","156.569006","full-aggregation-1"
"full","aggregation","10","300","10","0","27.8482407","17.7806815","71.84756109999998","12.200152","79.894894","full-aggregation-10"
"full","aggregation","100","300","100","0","18.547479560000003","17.180612500000002","26.189554399999988","12.051422","75.329602","full-aggregation-100"
"full","aggregation","1000","300","1000","0","16.113587047","14.910871","20.2621458","9.926747","354.806043","full-aggregation-1000"
"full","aggregation","5000","300","5000","0","14.928366644399983","14.081777","19.9572994","10.296139","118.373795","full-aggregation-5000"
"full","book","1","300","1","0","178.36683","178.36683","178.36683","178.36683","178.36683","full-book-1"
"full","book","10","300","10","0","25.3108196","19.459404499999998","59.39062094999994","12.55502","84.131463","full-book-10"
"full","book","100","300","100","0","15.516656420000006","13.7749535","25.05189805","10.283887","54.919607","full-book-100"
"full","book","1000","300","1000","0","11.230999809999991","10.822847","13.623341649999999","8.789305","59.325323","full-book-1000"
"full","book","5000","300","5000","0","10.544088881800013","10.1854045","12.721141550000002","7.833985","79.985442","full-book-5000"
"full","search","1","300","1","0","119.888017","119.888017","119.888017","119.888017","119.888017","full-search-1"
"full","search","10","300","10","0","30.2575062","27.678278","41.915557149999984","26.160649","49.604047","full-search-10"
"full","search","100","300","100","0","25.736669040000002","23.5010425","41.244231","18.431965","74.85369","full-search-100"
"full","search","1000","300","1000","0","17.490793242999995","16.971226","21.78482415","13.136132","78.708182","full-search-1000"
"full","search","5000","300","5000","0","15.158403093799954","14.604856","18.8360631","11.16803","76.390243","full-search-5000"
"full","static","1","300","1","0","3.743525","3.743525","3.743525","3.743525","3.743525","full-static-1"
"full","static","10","300","10","0","3.0864017000000006","2.829119","4.4918558","2.448509","4.590206","full-static-10"
"full","static","100","300","100","0","3.1536860099999986","2.9699295","3.7752308499999994","2.084279","15.671409","full-static-100"
"full","static","1000","300","1000","0","3.7444488309999953","3.4814860000000003","4.938261999999998","2.439581","55.148215","full-static-1000"
"full","static","5000","300","5000","0","3.6846193106000005","3.4548500000000004","4.7834779","2.28225","47.075277","full-static-5000"
"scaled","aggregation","1","300","1","0","213.338909","213.338909","213.338909","213.338909","213.338909","scaled-aggregation-1"
"scaled","aggregation","10","300","10","0","57.272147100000005","44.86475","126.29462294999995","19.991913","149.509218","scaled-aggregation-10"
"scaled","aggregation","100","300","100","0","20.21165439999999","18.783634499999998","28.822830149999998","14.029418","47.19715","scaled-aggregation-100"
"scaled","aggregation","1000","300","1000","0","12.460631866999991","11.8082015","16.038613299999994","9.626949","56.550209","scaled-aggregation-1000"
"scaled","aggregation","5000","300","5000","0","11.326692771000017","11.118183","13.46901575","9.125194","53.483957","scaled-aggregation-5000"
"scaled","book","1","300","1","0","223.535987","223.535987","223.535987","223.535987","223.535987","scaled-book-1"
"scaled","book","10","300","10","0","64.39262019999998","35.476172500000004","185.72828849999996","18.533006","197.113689","scaled-book-10"
"scaled","book","100","300","100","0","16.71571912","14.154580500000002","27.360096999999993","10.002334","67.501655","scaled-book-100"
"scaled","book","1000","300","1000","0","8.909684034999987","8.526885499999999","10.393277999999999","7.313536","39.246836","scaled-book-1000"
"scaled","book","5000","300","5000","0","8.964346037800002","8.661993500000001","10.5910819","6.396079","59.852992","scaled-book-5000"
"scaled","search","1","300","1","0","182.865455","182.865455","182.865455","182.865455","182.865455","scaled-search-1"
"scaled","search","10","300","10","0","35.2301804","22.439610000000002","84.16325729999996","20.670154","102.106551","scaled-search-10"
"scaled","search","100","300","100","0","19.99320973","17.821436","32.81039695","14.572267","58.175623","scaled-search-100"
"scaled","search","1000","300","1000","0","11.887957445000009","11.384196","13.722140099999999","9.603126","53.419934","scaled-search-1000"
"scaled","search","5000","300","5000","0","11.279583773399963","11.046018","12.95325925","9.331024","22.407704","scaled-search-5000"
"scaled","static","1","300","1","0","8.157385","8.157385","8.157385","8.157385","8.157385","scaled-static-1"
"scaled","static","10","300","10","0","3.8754356000000003","3.3618265000000003","6.885581549999994","2.591887","9.040821","scaled-static-10"
"scaled","static","100","300","100","0","3.7695521600000017","3.553489","5.0297962","2.394944","9.991624","scaled-static-100"
"scaled","static","1000","300","1000","0","3.1309207200000007","2.9143245","4.2464109","2.225574","23.701585","scaled-static-1000"
"scaled","static","5000","300","5000","0","2.7790891649999936","2.7324235000000003","3.30894755","1.956345","8.449163","scaled-static-5000"
