timestamp,endpoint,deployment,instance,status,response_time_ms
2026-09-17T03:02:36.195923427Z,book,full,a42d74844cf7,200,54.919607
2026-09-17T03:02:39.152278071Z,book,full,a42d74844cf7,200,13.264667
2026-09-17T03:02:42.153024266Z,book,full,a42d74844cf7,200,15.12933
2026-09-17T03:02:45.151436512Z,book,full,a42d74844cf7,200,14.796861
2026-09-17T03:02:48.158897849Z,book,full,a42d74844cf7,200,20.98952
2026-09-17T03:02:51.159376102Z,book,full,a42d74844cf7,200,22.785365
2026-09-17T03:02:54.147426729Z,book,full,a42d74844cf7,200,11.791931
2026-09-17T03:02:57.154417279Z,book,full,a42d74844cf7,200,16.94846
2026-09-17T03:03:00.150129651Z,book,full,a42d74844cf7,200,12.946223
2026-09-17T03:03:03.146785465Z,book,full,a42d74844cf7,200,11.317982
2026-09-17T03:03:06.150749977Z,book,full,a42d74844cf7,200,14.474839
2026-09-17T03:03:09.150086398Z,book,full,a42d74844cf7,200,14.335865
2026-09-17T03:03:12.152198454Z,book,full,a42d74844cf7,200,16.504544
2026-09-17T03:03:15.154173819Z,book,full,a42d74844cf7,200,18.167484
2026-09-17T03:03:18.145717203Z,book,full,a42d74844cf7,200,10.283887
2026-09-17T03:03:21.147079165Z,book,full,a42d74844cf7,200,11.275368
2026-09-17T03:03:24.184576658Z,book,full,a42d74844cf7,200,33.43245
2026-09-17T03:03:27.150064046Z,book,full,a42d74844cf7,200,15.136751
2026-09-17T03:03:30.150926919Z,book,full,a42d74844cf7,200,16.00465
2026-09-17T03:03:33.150190185Z,book,full,a42d74844cf7,200,14.637228
2026-09-17T03:03:36.142372929Z,book,full,a42d74844cf7,200,12.639406
2026-09-17T03:03:39.141596261Z,book,full,a42d74844cf7,200,12.819456
2026-09-17T03:03:42.144800482Z,book,full,a42d74844cf7,200,15.028716
2026-09-17T03:03:45.141165401Z,book,full,a42d74844cf7,200,11.542262
2026-09-17T03:03:48.141127094Z,book,full,a42d74844cf7,200,12.143404
2026-09-17T03:03:51.150661736Z,book,full,a42d74844cf7,200,21.642644
2026-09-17T03:03:54.140934874Z,book,full,a42d74844cf7,200,12.277793
2026-09-17T03:03:57.141140724Z,book,full,a42d74844cf7,200,13.274402
2026-09-17T03:04:00.14407587Z,book,full,a42d74844cf7,200,15.290617
2026-09-17T03:04:03.142065141Z,book,full,a42d74844cf7,200,13.805008
2026-09-17T03:04:06.140332342Z,book,full,a42d74844cf7,200,11.926431
2026-09-17T03:04:09.138776721Z,book,full,a42d74844cf7,200,11.046499
2026-09-17T03:04:12.140613464Z,book,full,a42d74844cf7,200,12.503055
